CM,decade,count
Arianespace,1977-1986,10
Arianespace,1987-1996,72
Arianespace,1997-2006,80
Arianespace,2007-Present,117
Boeing,1987-1996,55
Boeing,1997-2006,81
CASC,1967-1976,13
CASC,1977-1986,13
CASC,1987-1996,29
CASC,1997-2006,50
CASC,2007-Present,146
General Dynamics,1957-1966,107
General Dynamics,1967-1976,57
General Dynamics,1977-1986,61
General Dynamics,1987-1996,26
Martin Marietta,1957-1966,6
Martin Marietta,1967-1976,43
Martin Marietta,1977-1986,38
Martin Marietta,1987-1996,27
NASA,1957-1966,47
NASA,1967-1976,20
NASA,1977-1986,25
NASA,1987-1996,55
NASA,1997-2006,37
NASA,2007-Present,19
RVSN USSR,1957-1966,215
RVSN USSR,1967-1976,845
RVSN USSR,1977-1986,536
RVSN USSR,1987-1996,180
RVSN USSR,1997-2006,1
ULA,1997-2006,1
ULA,2007-Present,139
US Air Force,1957-1966,110
US Air Force,1967-1976,44
US Air Force,1977-1986,7
VKS RF,1987-1996,82
VKS RF,1997-2006,61
VKS RF,2007-Present,58
